species;log10 (cacao/forest)
pectaj;-1,268758646
pumcon;-1,157958961
nasnas;-0,922587729
eirbar;-0,702786566
leochr;-0,56027003
daslep;-0,457098587
didaur;-0,385321428
tamtet;-0,301114774
mazgou;-0,141607332
cunpac;0,213091013
calkuh;0,213091013
leowie;0,378315535
dasnov;0,387745185
procan;0,620829449
certho;0,937106937
cabtat;-2
sapxan;-2
potfla;-2
sciaes;-2
