mês	Transecto	Distancia	Peso_folhas	Peso_galhos	Peso_misc	Peso_total
fevereiro	3	0	24.2	0	0.0	24.2
fevereiro	3	20	40.5	0	3.0	43.5
fevereiro	3	40	39.9	0	0.0	39.9
fevereiro	3	60	43.5	0	0.0	43.5
fevereiro	3	80	92.7	0	6.3	99
fevereiro	3	100	0	0	0.0	0
fevereiro	3	150	58.3	0	24.6	82.9
fevereiro	4	-150	10.4	0	0.0	10.4
fevereiro	4	-100	10.1	33.6	15.4	59.1
fevereiro	4	-80	28.33	0	0.0	28.33
fevereiro	4	-60	63.08	0	11.1	74.18
fevereiro	4	-40	6	0	0.0	6
fevereiro	4	-20	10.4	0	23.2	33.6
fevereiro	4	0	13.5	0	0.0	13.5
fevereiro	4	20	29.2	0	0.0	29.2
fevereiro	4	40	33.2	0	8.5	41.7
fevereiro	4	60	151.2	0	0.0	151.2
fevereiro	4	80	41.1	0	0.0	41.1
fevereiro	4	100	105.5	0	0.0	105.5
fevereiro	4	150	31.2	0	17.9	49.1
fevereiro	5	-150	3.9	0	0.0	3.9
fevereiro	5	-100	3.3	0	0.0	3.3
fevereiro	5	-80	0	22.4	0.0	22.4
fevereiro	5	-60	12.9	0	0.0	12.9
fevereiro	5	-40	16.6	0	0.0	16.6
fevereiro	5	-20	19.7	15	0.0	34.7
fevereiro	5	0	23.9	0	0.0	23.9
fevereiro	5	20	28	0	0.0	28
fevereiro	5	40	52.6	0	0.0	52.6
fevereiro	5	60	50.1	0	14.1	64.2
fevereiro	5	80	40.9	0	25.9	66.8
fevereiro	5	100	44.5	0	0.0	44.5
fevereiro	5	150	55.1	0	0.0	55.1
fevereiro	6	-150	0	0	0.0	0
fevereiro	6	-100	0	0	5.6	5.55
fevereiro	6	-80	0	20.5	0.0	20.5
fevereiro	6	-60	0	0	0.0	0
fevereiro	6	-40	0	0	0.0	0
fevereiro	6	-20	0	0	3.5	3.5
fevereiro	6	0	22.9	0	0.0	22.9
fevereiro	6	20	52	0	0.0	52
fevereiro	6	40	30.9	0	0.0	30.9
fevereiro	6	60	43	0	0.0	43
fevereiro	6	80	44	0	0.0	44
fevereiro	6	100	50.6	0	7.7	58.26
fevereiro	6	150	76.7	0	0.0	76.7
fevereiro	7	-150	7.5	0	0.0	7.5
fevereiro	7	-100	9.68	0	0.0	9.68
fevereiro	7	-80	5.7	0	0.0	5.7
fevereiro	7	-60	32.8	0	0.0	32.8
fevereiro	7	-40	13.3	0	0.0	13.3
fevereiro	7	-20	3.4	11.2	0.0	14.6
fevereiro	7	0	4.6	0	0.0	4.6
fevereiro	7	20	37.47	0	0.0	37.47
fevereiro	7	40	40.8	0	0.0	40.8
fevereiro	7	60	27.6	0	0.0	27.6
fevereiro	7	80	50.6	76.2	10.4	137.2
fevereiro	7	100	40.8	0	0.0	40.8
fevereiro	7	150	43.4	0	0.0	43.4
março	1	-150	0	0	5.4	5.4
março	1	-100	0	0	0.0	0
março	1	-80	0	0	0.0	0
março	1	-60	0	0	7.2	7.2
março	1	-40	22.7	61.9	9.8	94.4
março	1	-20	0	220	0.0	220
março	1	0	23.8	0	0.0	23.8
março	1	20	20.6	0	14.1	34.7
março	1	40	178.4	0	9.3	187.7
março	1	60	77.6	0	0.0	77.6
março	1	80	0	0	0.0	0
março	1	100	0	0	0.0	0
março	1	150	0	0	0.0	0
março	2	-150	0	0	0.0	0
março	2	-100	0	0	0.0	0
março	2	-80	0	0	0.0	0
março	2	-60	0	0	0.0	0
março	2	-40	0	0	0.0	0
março	2	-20	41.9	0	0.0	41.9
março	2	0	0	0	0.0	0
março	2	20	0	0	0.0	0
março	2	40	80.6	0	0.0	80.6
março	2	60	85.4	0	0.0	85.4
março	2	80	0	0	0.0	0
março	2	100	0	0	0.0	0
março	2	150	90.3	0	0.0	90.3
março	3	-150	6.4	0	0.0	6.4
março	3	-100	4.8	35.9	0.0	40.7
março	3	-80	7.3	0	0.0	7.3
março	3	-60	11.6	0	0.0	11.6
março	3	-40	0	0	0.0	0
março	3	-20	0	0	0.0	0
março	3	0	18.4	0	0.0	18.4
março	3	20	22	0	0.0	22
março	3	40	23.8	0	0.0	23.8
março	3	60	49.1	0	0.0	49.1
março	3	80	38.7	0	0.0	38.7
março	3	100	55.1	0	0.0	55.1
março	3	150	57	0	48.4	105.4
março	4	-150	29.7	0	30.6	60.3
março	4	-100	0	0	0.0	0
março	4	-80	26.2	0	0.0	26.2
março	4	-60	32.4	18.1	23.2	73.7
março	4	-40	0	0	0.0	0
março	4	-20	28.5	0	51.9	80.4
março	4	0	10.6	0	0.0	10.6
março	4	20	36.1	0	0.0	36.1
março	4	40	59.4	0	0.0	59.4
março	4	60	62.4	49	10.8	122.2
março	4	80	53.8	0	0.0	53.8
março	4	100	51.1	77.3	34.9	163.3
março	4	150	84.6	0	0.0	84.6
março	5	-150	0	0	0.0	0
março	5	-100	0	0	0.0	0
março	5	-80	0	83.7	0.0	83.7
março	5	-60	22.2	0	0.0	22.2
março	5	-40	24.2	0	0.0	24.2
março	5	-20	31.2	0	0.0	31.2
março	5	0	32.7	0	0.0	32.7
março	5	20	47.2	0	0.0	47.2
março	5	40	0	0	0.0	0
março	5	60	39.6	0	0.0	39.6
março	5	80	46.1	0	15.2	61.3
março	5	100	78	0	0.0	78
março	5	150	117	29.3	0.0	146.3
março	6	-150	0	0	0.0	0
março	6	-100	0	0	0.0	0
março	6	-80	0	0	6.5	6.5
março	6	-60	0	0	0.0	0
março	6	-40	0	0	0.0	0
março	6	-20	0	0	0.0	0
março	6	0	39.1	0	0.0	39.1
março	6	20	47.4	0	6.8	54.2
março	6	40	40.9	0	0.0	40.9
março	6	60	41.2	0	37.9	79.1
março	6	80	57.1	0	0.0	57.1
março	6	100	23.8	0	11.3	35.1
março	6	150	59.8	0	0.0	59.8
março	7	-150	21.1	0	0.0	21.1
março	7	-100	7.4	0	4.0	11.4
março	7	-80	10	0	13.2	23.2
março	7	-60	13.2	0	3.2	16.4
março	7	-40	12	0	6.8	18.8
março	7	-20	24.4	86	23.3	133.7
março	7	0	4.8	0	0.0	4.8
março	7	20	21.9	0	5.9	27.8
março	7	40	30	18.5	3.7	52.22
março	7	60	25.7	0	0.0	25.7
março	7	80	43	44.6	4.9	92.5
março	7	100	67.5	0	17.3	84.8
março	7	150	67.3	0	9.5	76.8
abril	1	-150	0	0	13.9	13.93
abril	1	-100	0	0	0.0	0
abril	1	-80	0	0	2.5	2.5
abril	1	-60	38.6	0	2.3	40.94
abril	1	-40	1.58	0	0.0	1.58
abril	1	-20	14.47	0	0.0	14.47
abril	1	0	1.86	0	0.0	1.86
abril	1	20	17	0	0.0	17
abril	1	40	22.4	0	0.0	22.4
abril	1	60	39.5	0	11.2	50.7
abril	1	80	30.9	0	9.2	40.13
abril	1	100	10.48	0	0.0	10.48
abril	1	150	12.03	0	12.7	24.77
abril	2	-150	0	0	0.0	0
abril	2	-100	0	0	5.2	5.2
abril	2	-80	0	0	0.0	0
abril	2	-60	4.6	0	0.0	4.6
abril	2	-40	4.8	0	0.0	4.8
abril	2	-20	0	0	0.0	0
abril	2	0	0	39.4	6.9	46.3
abril	2	20	0	0	12.5	12.5
abril	2	40	11.8	0	11.7	23.5
abril	2	60	16.8	0	0.0	16.8
abril	2	80	27.2	0	0.0	27.2
abril	2	100	43.73	0	0.0	43.73
abril	2	150	29.9	0	0.0	29.9
abril	3	-150	0	0	0.0	0
abril	3	-100	0	0	0.0	0
abril	3	-80	2.82	0	0.0	2.82
abril	3	-60	0	0	8.4	8.43
abril	3	-40	0	0	1.9	1.86
abril	3	-20	3.1	0	0.0	3.1
abril	3	0	9.64	0	0.0	9.64
abril	3	20	14	0	0.0	14
abril	3	40	47.03	0	0.0	47.03
abril	3	60	16.6	0	0.0	16.6
abril	3	80	0	0	0.0	0
abril	3	100	0	0	23.5	23.47
abril	3	150	29.1	0	11.4	40.5
abril	4	-150	25.4	12.4	3.1	40.9
abril	4	-100	21.9	43.8	3.7	69.4
abril	4	-80	29.8	0	21.2	51
abril	4	-60	32.25	0	1.0	33.27
abril	4	-40	2.78	0	4.4	7.18
abril	4	-20	10.89	0	42.4	53.33
abril	4	0	5.4	0	6.5	11.87
abril	4	20	13.05	0	15.2	28.21
abril	4	40	30.2	18.2	1.8	50.2
abril	4	60	113.3	44.8	5.6	163.7
abril	4	80	10.8	0	0.0	10.8
abril	4	100	23.88	0	8.8	32.66
abril	4	150	16.5	0	10.2	26.7
abril	5	-150	0	0	0.0	0
abril	5	-100	0	0	11.1	11.1
abril	5	-80	0	0	0.0	0
abril	5	-60	7.7	0	1.5	9.2
abril	5	-40	0	0	23.5	23.5
abril	5	-20	14.69	0	0.0	14.69
abril	5	0	9.24	0	10.0	19.28
abril	5	20	10.8	0	10.9	21.7
abril	5	40	18.59	133.09	0.0	151.68
abril	5	60	18.42	0	5.9	24.35
abril	5	80	24.8	13.9	9.8	48.5
abril	5	100	30.7	15.3	0.0	46
abril	5	150	25.5	10.3	0.0	35.8
abril	6	-150	10.6	0	0.0	10.6
abril	6	-100	12	0	0.0	12
abril	6	-80	5.8	0	2.7	8.5
abril	6	-60	0	0	0.0	0
abril	6	-40	0	0	0.0	0
abril	6	-20	0	0	0.0	0
abril	6	0	0	6.3	0.0	6.3
abril	6	20	0	5.1	0.0	5.1
abril	6	40	0	10.2	0.0	10.2
abril	6	60	17.8	0	0.0	17.8
abril	6	80	19.8	0	0.0	19.8
abril	6	100	12	0	3.5	15.5
abril	6	150	19.4	57.4	8.4	85.2
abril	7	-150	27.88	0	0.0	27.88
abril	7	-100	5.78	208.9	13.2	227.92
abril	7	-80	0	0	8.1	8.07
abril	7	-60	41	0	0.0	41
abril	7	-40	16.9	0	0.0	16.9
abril	7	-20	41.07	28.5	0.0	69.57
abril	7	0	0	0	3.4	3.35
abril	7	20	65.3	0	0.0	65.3
abril	7	40	20.82	0	0.0	20.82
abril	7	60	22.53	0	13.1	35.6
abril	7	80	111.3	0	0.0	111.3
abril	7	100	0	0	17.6	17.61
abril	7	150	0	0	13.9	13.9
maio	1	-150	0	0	8.9	8.9
maio	1	-100	13.7	0	0.0	13.7
maio	1	-80	0	0	4.8	4.8
maio	1	-60	6.5	0	0.0	6.5
maio	1	-40	0	0	0.5	0.5
maio	1	-20	23.1	0	0.0	23.1
maio	1	0	8.6	0	0.0	8.6
maio	1	20	32.1	0	0.0	32.1
maio	1	40	10.8	0	0.0	10.8
maio	1	60	27.4	0	0.0	27.4
maio	1	80	11.8	0	0.0	11.8
maio	1	100	0	0	0.0	0
maio	1	150	25.2	0	0.0	25.2
maio	2	-150	0	0	3.0	3.01
maio	2	-100	0	33.17	0.0	33.17
maio	2	-80	0	0	0.0	0
maio	2	-60	0	0	3.1	3.09
maio	2	-40	0	0	15.0	14.96
maio	2	-20	0	0	0.0	0
maio	2	0	11.3	192.4	0.0	203.7
maio	2	20	11.8	0	0.0	11.8
maio	2	40	17.1	0	0.0	17.1
maio	2	60	27.8	0	0.0	27.8
maio	2	80	8.93	0	0.0	8.93
maio	2	100	12.53	0	0.0	12.53
maio	2	150	39.16	0	0.0	39.16
maio	3	-150	4.68	0	0.0	4.68
maio	3	-100	9.1	0	0.0	9.1
maio	3	-80	0	0	0.0	0
maio	3	-60	0	0	0.0	0
maio	3	-40	0	0	0.0	0
maio	3	-20	0	0	0.0	0
maio	3	0	2.9	0	0.0	2.9
maio	3	20	51.74	0	0.0	51.74
maio	3	40	22.2	0	0.0	22.2
maio	3	60	21.9	0	0.0	21.9
maio	3	80	50.4	0	0.0	50.4
maio	3	100	35.57	0	0.0	35.57
maio	3	150	27.9	0	0.0	27.9
maio	4	-150	8.1	0	0.0	8.1
maio	4	-100	0	43.3	0.0	43.3
maio	4	-80	8.7	4.7	0.0	13.4
maio	4	-60	29	0	0.0	29
maio	4	-40	13.7	0	0.0	13.7
maio	4	-20	18.7	152.3	0.0	171
maio	4	0	9.2	0	0.0	9.2
maio	4	20	17.5	0	0.0	17.5
maio	4	40	30.5	0	0.0	30.5
maio	4	60	31.1	19.9	0.0	51
maio	4	80	16.2	0	23.6	39.75
maio	4	100	34.5	0	0.0	34.5
maio	4	150	27.3	0	12.3	39.6
maio	5	-150	0	0	2.2	2.16
maio	5	-100	0	0	0.0	0
maio	5	-80	4.43	29.77	0.0	34.2
maio	5	-60	0	33.77	0.0	33.77
maio	5	-40	22.11	0	0.0	22.11
maio	5	-20	21.99	0	0.0	21.99
maio	5	0	6.47	7.82	0.0	14.29
maio	5	20	14.1	0	0.0	14.1
maio	5	40	16.15	0	11.2	27.34
maio	5	60	21.94	0	0.0	21.94
maio	5	80	17.96	0	0.0	17.96
maio	5	100	23.57	7.48	0.0	31.05
maio	5	150	29.36	9.24	0.0	38.6
maio	6	-150	8.8	0	0.0	8.8
maio	6	-100	0	0	0.0	0
maio	6	-80	0	0	0.0	0
maio	6	-60	0	0	0.0	0
maio	6	-40	0	0	5.4	5.4
maio	6	-20	0	0	2.3	2.3
maio	6	0	0	0	7.3	7.3
maio	6	20	26.9	0	0.0	26.9
maio	6	40	24.1	0	0.0	24.1
maio	6	60	28.6	0	24.7	53.3
maio	6	80	31.2	0	0.0	31.2
maio	6	100	23.4	0	0.0	23.4
maio	6	150	10.3	0	17.5	27.8
maio	7	-150	8.4	0	0.0	8.4
maio	7	-100	8.5	0	0.0	8.5
maio	7	-80	8.9	0	0.0	8.9
maio	7	-60	15.73	0	0.0	15.73
maio	7	-40	8.1	12.8	0.0	20.9
maio	7	-20	0	0	0.0	0
maio	7	0	3.7	0	0.0	3.7
maio	7	20	61.82	0	0.0	61.82
maio	7	40	20.25	0	0.0	20.25
maio	7	60	20.06	0	0.0	20.06
maio	7	80	19.85	42.89	0.0	62.74
maio	7	100	21.3	0	0.0	21.3
maio	7	150	24.7	0	0.0	24.7
junho	1	-150	0	31.39	0.0	31.39
junho	1	-100	0	121.55	0.0	121.55
junho	1	-80	0	0	0.0	0
junho	1	-60	3.61	0	0.0	3.61
junho	1	-40	28.34	0	0.0	28.34
junho	1	-20	0	0	0.0	0
junho	1	0	30.05	0	0.0	30.05
junho	1	20	24.34	0	28.2	52.55
junho	1	40	16.03	0	0.0	16.03
junho	1	60	20.74	0	0.0	20.74
junho	1	80	9.24	0	0.0	9.24
junho	1	100	35.47	0	0.0	35.47
junho	1	150	36.41	0	0.0	36.41
junho	2	-150	5.75	0	0.0	5.75
junho	2	-100	0	0	0.0	0
junho	2	-80	0	0	0.0	0
junho	2	-60	0	0	0.0	0
junho	2	-40	13.14	0	0.0	13.14
junho	2	-20	7.92	0	0.0	7.92
junho	2	-20	9.43	0	0.0	9.43
junho	2	0	3.55	0	0.0	3.55
junho	2	40	20.63	0	0.0	20.63
junho	2	60	18.51	0	0.0	18.51
junho	2	80	28.79	0	0.0	28.79
junho	2	100	32.73	0	0.0	32.73
junho	2	150	0	0	0.0	0
junho	3	-150	0	0	0.0	0
junho	3	-100	0	0	5.3	5.25
junho	3	-80	4.72	0	0.0	4.72
junho	3	-60	0	0	0.0	0
junho	3	-40	0	0	0.0	0
junho	3	-20	1.84	0	0.0	1.84
junho	3	-20	4.33	0	0.0	4.33
junho	3	20	57.46	0	0.0	57.46
junho	3	40	28.6	0	14.5	43.1
junho	3	60	39.8	0	57.9	97.74
junho	3	80	56.25	0	17.0	73.2
junho	3	100	291.1	1527.97	0.0	1819.07
junho	3	150	17.9	0	6.2	24.09
junho	4	-150	30.15	0	0.0	30.15
junho	4	-100	44.38	0	0.0	44.38
junho	4	-80	67.21	0	0.0	67.21
junho	4	-60	38.74	50.73	0.0	89.47
junho	4	-40	6.67	0	0.0	6.67
junho	4	-20	17.47	35.11	34.6	87.13
junho	4	0	12.59	143.7	0.0	156.29
junho	4	20	34.21	0	4.6	38.76
junho	4	40	36.61	18.49	0.0	55.1
junho	4	60	23.11	25.49	0.0	48.6
junho	4	80	35.28	0	0.0	35.28
junho	4	100	59.1	0	0.0	59.1
junho	4	150	66.57	0	0.0	66.57
junho	5	-150	8.47	0	0.0	8.47
junho	5	-100	6.36	76.1	0.0	82.46
junho	5	-80	0	122.47	0.0	122.47
junho	5	-60	41.62	0	0.0	41.62
junho	5	-40	26.01	0	0.0	26.01
junho	5	-20	0	0	0.0	0
junho	5	0	11.99	0	0.0	11.99
junho	5	20	27.72	19.87	0.0	47.59
junho	5	40	61.96	0	0.0	61.96
junho	5	60	36	0	0.0	36
junho	5	80	41.15	40.01	7.5	88.62
junho	5	100	35.83	16.19	0.0	52.02
junho	5	150	42.25	0	0.0	42.25
junho	6	-150	0	0	0.0	0
junho	6	-100	0	0	0.0	0
junho	6	-80	0	0	0.0	0
junho	6	-60	0	0	0.0	0
junho	6	-40	0	0	0.0	0
junho	6	-20	0	0	0.0	0
junho	6	0	17.19	0	0.0	17.19
junho	6	20	0	0	0.0	0
junho	6	40	34.86	0	0.0	34.86
junho	6	60	43.03	16.1	0.0	59.13
junho	6	80	47.31	0	0.0	47.31
junho	6	100	51.4	0	0.0	51.4
junho	6	150	92.93	0	0.0	92.93
junho	7	-150	14.41	0	0.0	14.41
junho	7	-100	13.16	0	0.0	13.16
junho	7	-80	0	53.93	0.0	53.93
junho	7	-60	20.57	0	0.0	20.57
junho	7	-40	17.12	0	0.0	17.12
junho	7	-20	0	0	0.0	0
junho	7	0	0	0	0.0	0
junho	7	20	40.71	0	0.0	40.71
junho	7	40	36.03	42.68	8.1	86.78
junho	7	60	20.55	0	0.0	20.55
junho	7	80	22.92	0	0.0	22.92
junho	7	100	29.88	0	0.0	29.88
junho	7	150	34.64	0	0.0	34.64
julho	1	-150	6.84	0	0.0	6.84
julho	1	-100	3.02	0	0.0	3.02
julho	1	-80	2.01	0	6.5	8.54
julho	1	-60	3.48	0	0.0	3.48
julho	1	-40	0	0	0.0	0
julho	1	-20	12.85	0	0.0	12.85
julho	1	0	15.55	0	0.0	15.55
julho	1	20	8.95	0	21.7	30.68
julho	1	40	10.73	0	5.0	15.74
julho	1	60	0	0	6.8	6.82
julho	1	80	7.14	0	0.0	7.14
julho	1	100	0	22.78	0.0	22.78
julho	1	150	8.18	0	0.0	8.18
julho	2	-150	0	0	0.0	0
julho	2	-100	0	0	0.0	0
julho	2	-80	0	0	0.0	0
julho	2	-60	0	0	0.0	0
julho	2	-40	1.52	0	0.0	1.52
julho	2	-20	0	0	0.0	0
julho	2	0	0	21.46	0.0	21.46
julho	2	20	0	0	0.0	0
julho	2	40	0	0	0.0	0
julho	2	60	12.94	0	0.0	12.94
julho	2	80	0	0	0.0	0
julho	2	100	11.73	0	0.0	11.73
julho	2	150	0	0	6.0	6.04
julho	3	-150	3.36	0	0.0	3.36
julho	3	-100	0	0	0.0	0
julho	3	-80	3.48	0	0.0	3.48
julho	3	-60	0	0	0.0	0
julho	3	-40	0	0	0.0	0
julho	3	-20	0	0	0.0	0
julho	3	0	3.4	0	0.0	3.4
julho	3	20	43.54	0	0.0	43.54
julho	3	40	15.55	0	0.0	15.55
julho	3	60	11.57	16.16	0.0	27.73
julho	3	80	14.55	6.27	0.0	20.82
julho	3	100	31.6	0	0.0	31.6
julho	3	150	9.04	0	0.0	9.04
julho	4	-150	15.31	0	0.0	15.31
julho	4	-100	10.36	0	22.8	33.16
julho	4	-80	8.8	0	0.0	8.8
julho	4	-60	15.33	0	0.0	15.33
julho	4	-40	7.94	0	0.0	7.94
julho	4	-20	9.43	0	0.0	9.43
julho	4	0	2.98	0	0.0	2.98
julho	4	20	13.95	0	0.0	13.95
julho	4	40	19.89	0	0.0	19.89
julho	4	60	13.2	123.87	0.0	137.07
julho	4	80	18.77	0	0.0	18.77
julho	4	100	22.5	0	0.0	22.5
julho	4	150	29.57	0	0.0	29.57
julho	5	-150	0	0	0.0	0
julho	5	-100	0	0	0.0	0
julho	5	-80	2.68	16.97	0.0	19.65
julho	5	-60	9.71	91.9	0.0	101.61
julho	5	-40	12.9	0	0.0	12.9
julho	5	-20	12.15	0	0.0	12.15
julho	5	0	8.34	9.24	0.0	17.58
julho	5	20	9.54	0	0.0	9.54
julho	5	40	12.52	7.22	0.0	19.74
julho	5	60	11.21	19.5	0.0	30.71
julho	5	80	20.33	13.83	0.0	34.16
julho	5	100	16.43	0	0.0	16.43
julho	5	150	22.45	0	0.0	22.45
julho	6	-150	0	0	0.0	0
julho	6	-100	2.71	0	10.9	13.56
julho	6	-80	0	0	5.2	5.19
julho	6	-60	0	0	0.0	0
julho	6	-40	18.19	5.18	0.0	23.37
julho	6	-20	3.79	0	0.0	3.79
julho	6	0	12.21	0	0.0	12.21
julho	6	20	10.67	0	5.4	16.08
julho	6	40	12.74	4.53	0.0	17.27
julho	6	60	17.93	59.73	0.0	77.66
julho	6	80	30.9	0	0.0	30.9
julho	6	100	8.66	0	0.7	9.37
julho	6	150	16.9	0	0.0	16.9
julho	7	-150	27.79	0	0.0	27.79
julho	7	-100	7.05	0	0.0	7.05
julho	7	-80	3.25	0	0.0	3.25
julho	7	-60	9.38	0	0.0	9.38
julho	7	-40	8.6	0	0.0	8.6
julho	7	-20	0	0	7.7	7.7
julho	7	0	3.13	0	0.0	3.13
julho	7	20	16.01	0	0.0	16.01
julho	7	40	14.07	8.05	0.0	22.12
julho	7	60	23.21	0	0.0	23.21
julho	7	80	12.78	0	0.0	12.78
julho	7	100	8.31	0	0.0	8.31
julho	7	150	18.77	0	0.0	18.77
agosto	1	-150	0	14.3	0.0	14.3
agosto	1	-100	11.43	0	0.0	11.43
agosto	1	-80	0	0	0.0	0
agosto	1	-60	0	0	0.0	0
agosto	1	-40	18.9	0	0.0	18.9
agosto	1	-20	0	0	0.0	0
agosto	1	0	11.95	0	25.6	37.5
agosto	1	20	12.95	0	0.0	12.95
agosto	1	40	16.65	0	0.0	16.65
agosto	1	60	17.8	0	0.0	17.8
agosto	1	80	32.77	0	0.0	32.77
agosto	1	100	42.8	0	13.8	56.63
agosto	1	150	32.29	0	0.0	32.29
