Medidor	Planta	Folha	AE	AD	FAtot	FArel	FAtot_abs	FArel_abs	Atot
Andreza	15	10	11.074	11.401	0.327	0.0145494994	0.327	0.0145494994	22.475
Andreza	15	14	10.684	11.052	0.368	0.016930438	0.368	0.016930438	21.736
Andreza	15	12	10.304	9.906	-0.398	-0.0196932212	0.398	0.0196932212	20.21
Andreza	15	11	15.445	15.866	0.421	0.0134457539	0.421	0.0134457539	31.311
Andreza	15	6	5.196	5.637	0.441	0.0407089449	0.441	0.0407089449	10.833
Andreza	15	2	15.397	14.907	-0.49	-0.0161694826	0.49	0.0161694826	30.304
Andreza	15	13	9.929	9.334	-0.595	-0.0308882313	0.595	0.0308882313	19.263
Andreza	15	7	5.4	4.62	-0.78	-0.0778443114	0.78	0.0778443114	10.02
Andreza	15	4	6.983	6.141	-0.842	-0.0641572691	0.842	0.0641572691	13.124
Andreza	15	1	8.649	7.566	-1.083	-0.0667900093	1.083	0.0667900093	16.215
Andreza	15	9	16.49	17.779	1.289	0.0376141702	1.289	0.0376141702	34.269
Andreza	15	3	9.751	8.054	-1.697	-0.0953103061	1.697	0.0953103061	17.805
Andreza	15	5	7.941	6.156	-1.785	-0.1266226857	1.785	0.1266226857	14.097
Andreza	16	1	11.881	11.779	-0.102	-0.0043110735	0.102	0.0043110735	23.66
Andreza	16	5	16.484	16.368	-0.116	-0.0035309875	0.116	0.0035309875	32.852
Andreza	16	9	10.137	9.914	-0.223	-0.0111216398	0.223	0.0111216398	20.051
Andreza	16	6	18.075	17.819	-0.256	-0.0071321112	0.256	0.0071321112	35.894
Andreza	16	10	5.065	4.683	-0.382	-0.0391875256	0.382	0.0391875256	9.748
Andreza	16	14	9.859	10.286	0.427	0.0211963266	0.427	0.0211963266	20.145
Andreza	16	11	7.33	6.877	-0.453	-0.0318856902	0.453	0.0318856902	14.207
Andreza	16	13	14.334	14.84	0.506	0.0173442106	0.506	0.0173442106	29.174
Andreza	16	4	11.707	10.947	-0.76	-0.0335481593	0.76	0.0335481593	22.654
Andreza	16	12	13.57	14.506	0.936	0.0333380823	0.936	0.0333380823	28.076
Andreza	16	7	12.476	13.594	1.118	0.0428845416	1.118	0.0428845416	26.07
Andreza	16	3	20.689	21.945	1.256	0.0294600554	1.256	0.0294600554	42.634
Andreza	16	8	13.967	12.182	-1.785	-0.0682626487	1.785	0.0682626487	26.149
Andreza	16	15	8.102	10.104	2.002	0.1099637482	2.002	0.1099637482	18.206
Andreza	16	2	15.779	13.556	-2.223	-0.0757797852	2.223	0.0757797852	29.335
Andreza	17	5	16.902	16.816	-0.086	-0.0025505665	0.086	0.0025505665	33.718
Andreza	17	12	7.544	7.64	0.096	0.0063224447	0.096	0.0063224447	15.184
Andreza	17	11	19.319	19.16	-0.159	-0.004132124	0.159	0.004132124	38.479
Andreza	17	15	13.286	12.976	-0.31	-0.0118041276	0.31	0.0118041276	26.262
Andreza	17	4	25.34	26.396	1.056	0.020411319	1.056	0.020411319	51.736
Andreza	17	6	22.732	21.093	-1.639	-0.037398745	1.639	0.037398745	43.825
Andreza	17	10	15.672	13.873	-1.799	-0.0608901675	1.799	0.0608901675	29.545
Andreza	17	9	14.44	16.325	1.885	0.0612709248	1.885	0.0612709248	30.765
Andreza	17	1	30.743	28.374	-2.369	-0.0400730754	2.369	0.0400730754	59.117
Andreza	17	3	24.268	26.702	2.434	0.0477535805	2.434	0.0477535805	50.97
Andreza	17	7	20.332	17.43	-2.902	-0.0768497431	2.902	0.0768497431	37.762
Andreza	17	14	16.932	20.002	3.07	0.0831212433	3.07	0.0831212433	36.934
Andreza	17	8	16.623	13.119	-3.504	-0.1178131935	3.504	0.1178131935	29.742
Andreza	17	2	30.587	26.377	-4.21	-0.0739063268	4.21	0.0739063268	56.964
Andreza	17	13	25.082	18.406	-6.676	-0.153513613	6.676	0.153513613	43.488
Andreza	18	16	14.256	14.318	0.062	0.0021698047	0.062	0.0021698047	28.574
Andreza	18	9	13.394	13.265	-0.129	-0.0048388912	0.129	0.0048388912	26.659
Andreza	18	5	5.92	5.59	-0.33	-0.0286707211	0.33	0.0286707211	11.51
Andreza	18	12	4.595	5.096	0.501	0.0516974512	0.501	0.0516974512	9.691
Andreza	18	7	4.405	3.612	-0.793	-0.098914806	0.793	0.098914806	8.017
Andreza	18	3	10.516	9.664	-0.852	-0.0422200198	0.852	0.0422200198	20.18
Andreza	18	8	10.128	9.271	-0.857	-0.0441775349	0.857	0.0441775349	19.399
Andreza	18	11	4.533	5.411	0.878	0.0882944489	0.878	0.0882944489	9.944
Andreza	18	1	9.699	8.603	-1.096	-0.0598841657	1.096	0.0598841657	18.302
Andreza	18	6	8.449	7.261	-1.188	-0.0756206238	1.188	0.0756206238	15.71
Andreza	18	10	9.23	7.788	-1.442	-0.0847338113	1.442	0.0847338113	17.018
Andreza	18	14	17.574	15.848	-1.726	-0.0516426306	1.726	0.0516426306	33.422
Andreza	18	4	9.26	7.48	-1.78	-0.1063321386	1.78	0.1063321386	16.74
Andreza	18	13	12.867	10.979	-1.888	-0.0791747044	1.888	0.0791747044	23.846
Andreza	18	15	12.152	10.034	-2.118	-0.0954656089	2.118	0.0954656089	22.186
Andreza	18	2	7.11	9.474	2.364	0.1425470333	2.364	0.1425470333	16.584
Andreza	19	11	12.499	12.366	-0.133	-0.005348884	0.133	0.005348884	24.865
Andreza	19	2	9.123	9.488	0.365	0.0196120574	0.365	0.0196120574	18.611
Andreza	19	8	8.03	7.634	-0.396	-0.0252808989	0.396	0.0252808989	15.664
Andreza	19	4	13.664	13.195	-0.469	-0.0174615585	0.469	0.0174615585	26.859
Andreza	19	5	9.606	9.046	-0.56	-0.03002359	0.56	0.03002359	18.652
Andreza	19	3	16.818	17.436	0.618	0.0180416886	0.618	0.0180416886	34.254
Andreza	19	6	8.08	8.754	0.674	0.0400380183	0.674	0.0400380183	16.834
Andreza	19	14	13.564	12.699	-0.865	-0.0329360698	0.865	0.0329360698	26.263
Andreza	19	12	21.018	20.045	-0.973	-0.0236952975	0.973	0.0236952975	41.063
Andreza	19	13	14.141	13.107	-1.034	-0.0379477393	1.034	0.0379477393	27.248
Andreza	19	7	11.635	9.068	-2.567	-0.123991692	2.567	0.123991692	20.703
Andreza	19	1	10.38	13.201	2.821	0.1196302108	2.821	0.1196302108	23.581
Andreza	19	10	13.169	9.935	-3.234	-0.1399757618	3.234	0.1399757618	23.104
Andreza	19	9	21.333	17.397	-3.936	-0.101626646	3.936	0.101626646	38.73
Andreza	19	15	22.555	16.736	-5.819	-0.1481000738	5.819	0.1481000738	39.291
Andreza	20	4	37.469	36.977	-0.492	-0.0066088171	0.492	0.0066088171	74.446
Andreza	20	15	20.257	21.22	0.963	0.0232176869	0.963	0.0232176869	41.477
Andreza	20	10	29.881	28.159	-1.722	-0.0296691937	1.722	0.0296691937	58.04
Andreza	20	8	14.877	12.743	-2.134	-0.077262853	2.134	0.077262853	27.62
Andreza	20	7	18.909	16.611	-2.298	-0.0646959459	2.298	0.0646959459	35.52
Andreza	20	14	20.984	18.507	-2.477	-0.0627231521	2.477	0.0627231521	39.491
Andreza	20	5	28.435	25.883	-2.552	-0.046982584	2.552	0.046982584	54.318
Andreza	20	6	24.039	26.675	2.636	0.0519777576	2.636	0.0519777576	50.714
Andreza	20	1	37.606	34.261	-3.345	-0.046544311	3.345	0.046544311	71.867
Andreza	20	9	15.151	11.528	-3.623	-0.1357996926	3.623	0.1357996926	26.679
Andreza	20	2	32.141	27.328	-4.813	-0.080932923	4.813	0.080932923	59.469
Andreza	20	13	41.896	47.012	5.116	0.0575426283	5.116	0.0575426283	88.908
Andreza	20	11	28.471	22.419	-6.052	-0.1189231676	6.052	0.1189231676	50.89
Andreza	20	3	22.248	15.252	-6.996	-0.18656	6.996	0.18656	37.5
Andreza	20	12	35.716	44.142	8.426	0.1055122843	8.426	0.1055122843	79.858
Andreza	21	2	23.12	22.759	-0.361	-0.0078685237	0.361	0.0078685237	45.879
Andreza	21	1	14.461	14.847	0.386	0.0131704654	0.386	0.0131704654	29.308
Andreza	21	8	25.334	26.568	1.234	0.023775577	1.234	0.023775577	51.902
Andreza	21	3	23.025	20.92	-2.105	-0.0479007851	2.105	0.0479007851	43.945
Andreza	21	12	17.334	19.59	2.256	0.0610984725	2.256	0.0610984725	36.924
Andreza	21	7	16.651	18.936	2.285	0.0642088403	2.285	0.0642088403	35.587
Andreza	21	11	19.12	16.738	-2.382	-0.0664286909	2.382	0.0664286909	35.858
Andreza	21	14	13.364	15.86	2.496	0.0854092527	2.496	0.0854092527	29.224
Andreza	21	15	13.534	16.497	2.963	0.0986647131	2.963	0.0986647131	30.031
Andreza	21	4	23.932	20.814	-3.118	-0.0696822062	3.118	0.0696822062	44.746
Andreza	21	6	25.199	21.315	-3.884	-0.0835017414	3.884	0.0835017414	46.514
Andreza	21	5	17.995	22.055	4.06	0.1013732834	4.06	0.1013732834	40.05
Andreza	21	13	20.886	16.018	-4.868	-0.1319098201	4.868	0.1319098201	36.904
Andreza	21	10	19.086	24.083	4.997	0.1157543608	4.997	0.1157543608	43.169
Andreza	21	9	28.714	34.054	5.34	0.0850751976	5.34	0.0850751976	62.768
Andreza	22	8	21.898	21.894	-0.004	-9.13408841797894E-005	0.004	9.13408841797894E-005	43.792
Andreza	22	2	21.442	21.399	-0.043	-0.0010037114	0.043	0.0010037114	42.841
Andreza	22	3	16.129	16.081	-0.048	-0.0014902204	0.048	0.0014902204	32.21
Andreza	22	5	16.038	15.55	-0.488	-0.0154489046	0.488	0.0154489046	31.588
Andreza	22	13	17.73	18.489	0.759	0.0209558519	0.759	0.0209558519	36.219
Andreza	22	4	24.19	25.045	0.855	0.0173656951	0.855	0.0173656951	49.235
Andreza	22	15	16.73	18.511	1.781	0.0505377259	1.781	0.0505377259	35.241
Andreza	22	7	17.898	20.045	2.147	0.0565848773	2.147	0.0565848773	37.943
Andreza	22	12	17.389	19.539	2.15	0.0582214038	2.15	0.0582214038	36.928
Andreza	22	14	25.05	22.721	-2.329	-0.0487534278	2.329	0.0487534278	47.771
Andreza	22	10	42.351	45.058	2.707	0.030969351	2.707	0.030969351	87.409
Andreza	22	9	24.244	27.55	3.306	0.0638297872	3.306	0.0638297872	51.794
Andreza	22	1	30.833	27.191	-3.642	-0.0627671308	3.642	0.0627671308	58.024
Andreza	22	11	27.831	32.07	4.239	0.0707667652	4.239	0.0707667652	59.901
Andreza	22	6	21.033	29.79	8.757	0.1723038782	8.757	0.1723038782	50.823
Andreza	23	6	22.194	21.485	-0.709	-0.0162320566	0.709	0.0162320566	43.679
Andreza	23	13	16.773	17.591	0.818	0.0238039809	0.818	0.0238039809	34.364
Andreza	23	10	5.349	6.247	0.898	0.0774404967	0.898	0.0774404967	11.596
Andreza	23	2	23.924	22.992	-0.932	-0.0198652912	0.932	0.0198652912	46.916
Andreza	23	3	9.971	8.853	-1.118	-0.0593922652	1.118	0.0593922652	18.824
Andreza	23	8	8.546	9.751	1.205	0.0658577909	1.205	0.0658577909	18.297
Andreza	23	14	23.174	24.534	1.36	0.0285067494	1.36	0.0285067494	47.708
Andreza	23	1	26.029	27.551	1.522	0.0284061217	1.522	0.0284061217	53.58
Andreza	23	7	13.746	15.396	1.65	0.0566193123	1.65	0.0566193123	29.142
Andreza	23	4	19.466	17.362	-2.104	-0.0571304442	2.104	0.0571304442	36.828
Andreza	23	12	9.159	11.638	2.479	0.1191998846	2.479	0.1191998846	20.797
Andreza	23	9	20.936	24.426	3.49	0.076936643	3.49	0.076936643	45.362
Andreza	23	11	35.194	30.03	-5.164	-0.0791733104	5.164	0.0791733104	65.224
Andreza	23	15	30.736	36.423	5.687	0.0846796409	5.687	0.0846796409	67.159
Andreza	23	5	35.388	28.655	-6.733	-0.1051324891	6.733	0.1051324891	64.043
Andreza	24	9	10.64	10.639	-0.001	-4.69946896001326E-005	0.001	4.69946896001326E-005	21.279
Andreza	24	12	5.627	5.821	0.194	0.0169461915	0.194	0.0169461915	11.448
Andreza	24	5	7.126	7.394	0.268	0.0184573003	0.268	0.0184573003	14.52
Andreza	24	1	5.425	5.154	-0.271	-0.025616788	0.271	0.025616788	10.579
Andreza	24	7	5.546	5.207	-0.339	-0.0315260857	0.339	0.0315260857	10.753
Andreza	24	13	14.321	13.914	-0.407	-0.0144147335	0.407	0.0144147335	28.235
Andreza	24	4	7.575	8.061	0.486	0.0310821182	0.486	0.0310821182	15.636
Andreza	24	15	6.473	5.955	-0.518	-0.0416800772	0.518	0.0416800772	12.428
Andreza	24	6	8.489	7.752	-0.737	-0.0453789791	0.737	0.0453789791	16.241
Andreza	24	14	7.031	7.885	0.854	0.0572539555	0.854	0.0572539555	14.916
Andreza	24	11	9.254	8.236	-1.018	-0.0582046884	1.018	0.0582046884	17.49
Andreza	24	3	5.048	6.389	1.341	0.1172510274	1.341	0.1172510274	11.437
Andreza	24	8	7.548	9.328	1.78	0.1054752311	1.78	0.1054752311	16.876
Andreza	24	2	6.848	8.628	1.78	0.1150168002	1.78	0.1150168002	15.476
Andreza	24	10	8.733	6.544	-2.189	-0.1432872946	2.189	0.1432872946	15.277
Andreza	25	4	12.859	12.941	0.082	0.0031782946	0.082	0.0031782946	25.8
Andreza	25	9	18.699	18.805	0.106	0.0028263652	0.106	0.0028263652	37.504
Andreza	25	7	12.091	11.95	-0.141	-0.0058649807	0.141	0.0058649807	24.041
Andreza	25	3	9.345	9.529	0.184	0.0097488609	0.184	0.0097488609	18.874
