Medidor	Ind	AFtot_abs	AFrel_abs	Dens	ABtotal	ABmedia	Hmax	Hmedia
Andreza	78	1.7644666667	0.0618753051	5	10.6060167985	2.1212033597	165	125
Andreza	79	2.469	0.0545892445	5	11.6571937004	2.3314387401	225	131.6
Andreza	80	2.233	0.0570902082	3	4.1197275263	1.3732425088	170	150.6666666667
Luiz	11	1.4808764	0.0407927566	5	38.1711361393	7.6342272279	279	212.6
Luiz	12	1.5832296	0.0525169446	3	17.9353524593	5.9784508198	253	196
Luiz	13	2.3730626	0.0844191528	2	2.5567066413	1.2783533207	109	99
Luiz	14	1.0732808	0.0315755842	5	12.6545708281	2.5309141656	169	138.2
Luiz	15	0.775909	0.0412501462	5	15.695553977	3.1391107954	177	137.6
Luiz	16	0.7986122	0.03072901	4	6.6443899225	1.6610974806	147	132.75
Luiz	17	2.2539534	0.0537076636	6	20.7231232403	3.4538538734	210	164
Luiz	18	1.138287	0.0657361869	2	3.4020306846	1.7010153423	144	141.5
Luiz	19	1.6489438	0.0588404762	12	45.12418754	3.7603489617	295	181.135
Luiz	20	3.6711688	0.07330584	1	1.6512996385	1.6512996385	133	133
Luiz	21	2.786806	0.0667293225	4	112.9347581094	28.2336895274	382	225
Luiz	22	2.303301	0.0459797167	7	34.5844583465	4.9406369066	272	216.4285714286
Luiz	23	2.5128218	0.0592703832	1	43.1247208956	43.1247208956	300	300
Luiz	24	0.8572936	0.0565493697	1	1.5393804003	1.5393804003	127	127
Luiz	25	1.5274746	0.0351934224	4	17.211529512	4.302882378	234	201.5
Luiz	26	1.3545692	0.037693341	1	3.1415926536	3.1415926536	224	224
Luiz	27	1.5600426	0.0388451401	2	10.5321893712	5.2660946856	264	214
Luiz	28	2.406669	0.0570651067	3	15.4416347507	5.1472115836	231	213.3333333333
Luiz	29	1.7060912	0.0450428094	5	10.6335057342	2.1267011468	240	196.4
Luiz	30	1.3220838	0.0456997651	1	3.1730871199	3.1730871199	234	234
Luiz	31	1.5045944	0.0393477101	2	64.7995110906	32.3997555453	387	306
Luiz	32	1.2223148	0.0389123795	6	95.3038259782	15.8839709964	492	359.8333333333
Luiz	33	1.4058402	0.0559630904	5	160.8952540369	32.1790508074	462	436.6
Luiz	34	2.027063	0.0380975672	1	12.1303960939	12.1303960939	247	247
Luiz	35	1.843514	0.0332515373	7	38.2608286095	5.4658326585	270	211.5714285714
Luiz	36	1.9267748	0.0466293233	2	6.1359231515	3.0679615758	204	183
Luiz	37	2.2713938	0.0575764215	1	2.4328493509	2.4328493509	92	92
Luiz	38	2.0452586	0.0515350371	4	33.4948754744	8.3737188686	255	176.5
Luiz	39	1.9890788	0.0458603934	2	5.9143623296	2.9571811648	213	188
Luiz	40	2.1812536	0.0404745805	4	31.8504873397	7.9626218349	226	165.75
Luiz	41	1.7517572	0.0585485059	5	34.9303476977	6.9860695395	295	223.8
Luiz	42	1.1787728	0.0416959451	4	20.7543820872	5.1885955218	172	158
Luiz	43	0.761985	0.0442719896	1	9.0258742336	9.0258742336	133	133
Luiz	44	1.8312066	0.0509872576	2	38.3290797099	19.164539855	270	193
Luiz	45	2.0125608	0.0763847737	4	64.7919712682	16.197992817	255	183.25
Luiz	46	2.1048722	0.0606952694	5	15.3811590922	3.0762318184	192	147.8
Luiz	47	1.7420104	0.0624474145	5	16.2858592366	3.2571718473	210	136.6
Luiz	48	2.0408336	0.0719144457	9	24.0692335757	2.6743592862	215	145.4444444444
Luiz	49	2.9940022	0.0661664518	3	12.8403960336	4.2801320112	210	168.3333333333
Luiz	50	2.1469274	0.0435928505	6	16.5450406305	2.7575067717	196	114
Luiz	51	0.880929	0.0361226761	11	16.3500262665	1.4863660242	173	103.3636363636
Luiz	52	1.6074432	0.0471849854	1	11.5209271191	11.5209271191	257	257
Luiz	53	1.7633094	0.0468784263	5	12.6877931704	2.5375586341	220	174.4
Luiz	54	2.1150438	0.0461002601	8	19.6623644808	2.4577955601	205	151.125
Luiz	55	1.2685944	0.0398033673	6	21.306988235	3.5511647058	162	116
Luiz	56	1.8235012	0.0475661912	7	19.1748678408	2.7392668344	196	131.7142857143
Luiz	57	0.9356692	0.0463015193	3	8.8543432747	2.9514477582	139	92.6666666667
Luiz	58	0.6677266	0.0343885901	14	18.9116023764	1.3508287412	153	75.5
Luiz	59	1.0003332	0.0691108931	5	51.1942157857	10.2388431571	174	140.2
Luiz	60	0.8943928	0.07674174	1	1.7671458676	1.7671458676	89	89
Luiz	61	2.3052834	0.0532938638	6	25.8666958124	4.3111159687	210	157.5
Luiz	63	1.608576	0.0537182338	6	8.409022516	1.4015037527	185	112.8333333333
Luiz	64	0.6789012	0.0427887976	2	2.1433515879	1.071675794	113	75
Luiz	65	1.2428232	0.0499160305	4	7.5296121925	1.8824030481	135	82.5
Luiz	66	2.5600926	0.0508678394	4	10.5187590626	2.6296897656	209	134
Luiz	67	1.1956468	0.0317895307	1	1.8869190876	1.8869190876	172	172
Luiz	68	2.341592	0.0417657281	5	20.3567349971	4.0713469994	245	197.4
Luiz	69	2.5466288	0.0669055474	1	21.8956441585	21.8956441585	195	195
Luiz	70	1.9124968	0.0378598997	1	2.4052818754	2.4052818754	150	150
Luiz	71	2.5458146	0.0519056495	4	12.5905608778	3.1476402194	195	155.75
Luiz	72	2.2364776	0.0807091882	7	13.7100674199	1.95858106	117	95.8571428571
Luiz	73	1.402666	0.0546851664	3	81.1062619183	27.0354206394	190	174.6666666667
Luiz	74	1.9388698	0.0515268786	1	3.3006357817	3.3006357817	190	190
Luiz	75	2.28035	0.052228618	4	10.1844150644	2.5461037661	185	143.25
Luiz	76	2.4057486	0.0578315072	7	7.6428666077	1.0918380868	215	94
Luiz	77	1.8768254	0.0454608981	2	7.1453168711	3.5726584356	174	156
Luiz	78	1.9233528	0.0650881368	5	10.6060167985	2.1212033597	165	125
Luiz	79	2.5272178	0.0539705902	5	11.6571937004	2.3314387401	225	131.6
Luiz	80	2.3291666	0.058165962	3	4.1197275263	1.3732425088	170	150.6666666667
Pavel	11	1.3961333333	0.0396758164	5	38.1711361393	7.6342272279	279	212.6
Pavel	12	1.2856666667	0.0484603848	3	17.9353524593	5.9784508198	253	196
Pavel	13	2.0031333333	0.0797552863	2	2.5567066413	1.2783533207	109	99
Pavel	14	1.1285333333	0.0310266677	5	12.6545708281	2.5309141656	169	138.2
